"","Miles.per.gallon","Cylinders","Displacement","Horsepower","Weight","Acceleration","Model.year","Origin","Car.name","Index","Miles.per.gallon_z","Displacement_z","Horsepower_z","Weight_z","Acceleration_z","Cylinders_z"
"19",15,8,400,150,3761,9.5,70,1,"chevrolet monte carlo",19,-1.08937947209447,1.9559248469713,1.15859980495786,0.922765304542443,-2.14731856600193,1.47452988340145
"20",14,8,455,225,3086,10,70,1,"buick estate wagon (sw)",20,-1.21732241056638,2.48012148560774,3.09314614818354,0.125839034516046,-1.96896109100259,1.47452988340145
"21",24,4,113,95,2372,15,70,3,"toyota corona mark ii",21,0.062106974152695,-0.779428521913411,-0.260067513407639,-0.71713186444521,-0.185386341009168,-0.861700878202408
"22",22,6,198,95,2833,15.5,70,1,"plymouth duster",22,-0.193778902791121,0.0306935559792723,-0.260067513407639,-0.17286073780496,-0.00702886600982643,0.30641450259952
"23",18,6,199,97,2774,15.5,70,1,"amc hornet",23,-0.705550656678751,0.0402244039544804,-0.208479610921621,-0.242517996962822,-0.00702886600982643,0.30641450259952
"24",21,6,200,85,2587,16,70,1,"ford maverick",24,-0.321721841263028,0.0497552519296884,-0.518007025837729,-0.463296089547913,0.171328608989515,0.30641450259952
"25",27,4,97,88,2130,14.5,70,3,"datsun pl510",25,0.445935789568418,-0.93192208951674,-0.440625172108702,-1.00284469014356,-0.36374381600851,-0.861700878202408
"26",26,4,97,46,1835,20.5,70,2,"volkswagen 1131 deluxe sedan",26,0.31799285109651,-0.93192208951674,-1.52397112431508,-1.35113098593288,1.77654588398359,-0.861700878202408
"27",25,4,110,87,2672,17.5,70,2,"peugeot 504",27,0.190049912624603,-0.808021065839035,-0.466419123351711,-0.362942411100145,0.706401033987541,-0.861700878202408
"28",24,4,107,90,2430,14.5,70,2,"audi 100 ls",28,0.062106974152695,-0.836613609764659,-0.389037269622684,-0.648655236798497,-0.36374381600851,-0.861700878202408
"29",25,4,104,95,2375,17.5,70,2,"saab 99e",29,0.190049912624603,-0.865206153690283,-0.260067513407639,-0.713589969911759,0.706401033987541,-0.861700878202408
"30",26,4,121,113,2234,12.5,70,2,"bmw 2002",30,0.31799285109651,-0.703181738111747,0.204223608966524,-0.88005901298394,-1.07717371600588,-0.861700878202408
"31",21,6,199,90,2648,15,70,1,"amc gremlin",31,-0.321721841263028,0.0402244039544804,-0.389037269622684,-0.39127756736775,-0.185386341009168,0.30641450259952
"32",10,8,360,215,4615,14,70,1,"ford f250",32,-1.72909416445401,1.57469092796297,2.83520663575345,1.93102461506473,-0.542101291007852,1.47452988340145
"33",10,8,307,200,4376,15,70,1,"chevy c20",33,-1.72909416445401,1.06955598527695,2.44829736710831,1.64885368389983,-0.185386341009168,1.47452988340145
"34",11,8,318,210,4382,13.5,70,1,"dodge d200",34,-1.60115122598211,1.17439531300424,2.7062368795384,1.65593747296673,-0.720458766007193,1.47452988340145
"35",9,8,304,193,4732,18.5,70,1,"hi 1200d",35,-1.85703710292592,1.04096344135132,2.26773970840725,2.0691585018693,1.06311598398622,1.47452988340145
"36",27,4,97,88,2130,14.5,71,3,"datsun pl510",36,0.445935789568418,-0.93192208951674,-0.440625172108702,-1.00284469014356,-0.36374381600851,-0.861700878202408
"37",28,4,140,90,2264,15.5,71,1,"chevrolet vega 2300",37,0.573878728040326,-0.522095626582794,-0.389037269622684,-0.844640067649434,-0.00702886600982643,-0.861700878202408
"38",25,4,113,95,2228,14,71,3,"toyota corona",38,0.190049912624603,-0.779428521913411,-0.260067513407639,-0.887142802050841,-0.542101291007852,-0.861700878202408
"39",25,4,98,NA,2046,19,71,1,"ford pinto",39,0.190049912624603,-0.922391241541532,NA,-1.10201773708018,1.24147345898557,-0.861700878202408
"40",NA,4,97,48,1978,20,71,2,"volkswagen super beetle 117",40,NA,-0.93192208951674,-1.47238322182906,-1.1823006798384,1.59818840898425,-0.861700878202408
"41",19,6,232,100,2634,13,71,1,"amc gremlin",41,-0.577607718206844,0.354742387136346,-0.131097757192593,-0.407806408523853,-0.898816241006535,0.30641450259952
"42",16,6,225,105,3439,15.5,71,1,"plymouth satellite custom",42,-0.961436533622567,0.288026451309889,-0.00212800097754814,0.542601957952072,-0.00702886600982643,0.30641450259952
"43",17,6,250,100,3329,15.5,71,1,"chevrolet chevelle malibu",43,-0.833493595150659,0.52629765069009,-0.131097757192593,0.412732491725548,-0.00702886600982643,0.30641450259952
"44",19,6,250,88,3302,15.5,71,1,"ford torino 500",44,-0.577607718206844,0.52629765069009,-0.440625172108702,0.380855440924493,-0.00702886600982643,0.30641450259952
"45",18,6,232,100,3288,15.5,71,1,"amc matador",45,-0.705550656678751,0.354742387136346,-0.131097757192593,0.36432659976839,-0.00702886600982643,0.30641450259952
"46",14,8,350,165,4209,12,71,1,"chevrolet impala",46,-1.21732241056638,1.47938244821089,1.545509073603,1.45168822153774,-1.25553119100522,1.47452988340145
"47",14,8,400,175,4464,11.5,71,1,"pontiac catalina brougham",47,-1.21732241056638,1.9559248469713,1.80344858603309,1.75274925688105,-1.43388866600456,1.47452988340145
"48",14,8,351,153,4154,13.5,71,1,"ford galaxie 500",48,-1.21732241056638,1.4889132961861,1.23598165868689,1.38675348842448,-0.720458766007193,1.47452988340145
"49",14,8,318,150,4096,13,71,1,"plymouth fury iii",49,-1.21732241056638,1.17439531300424,1.15859980495786,1.31827686077777,-0.898816241006535,1.47452988340145
"50",12,8,383,180,4955,11.5,71,1,"dodge monaco (sw)",50,-1.4732082875102,1.79390043139276,1.93241834224813,2.3324393288558,-1.43388866600456,1.47452988340145
"51",13,8,400,170,4746,12,71,1,"ford country squire (sw)",51,-1.34526534903829,1.9559248469713,1.67447882981804,2.08568734302541,-1.25553119100522,1.47452988340145
"52",13,8,400,175,5140,12,71,1,"pontiac safari (sw)",52,-1.34526534903829,1.9559248469713,1.80344858603309,2.55085615841859,-1.25553119100522,1.47452988340145
"53",18,6,258,110,2962,13.5,71,1,"amc hornet sportabout (sw)",53,-0.705550656678751,0.602544434491755,0.126841755237497,-0.0205592728665815,-0.720458766007193,0.30641450259952
"54",22,4,140,72,2408,19,71,1,"chevrolet vega (sw)",54,-0.193778902791121,-0.522095626582794,-0.853328391996847,-0.674629130043802,1.24147345898557,-0.861700878202408
"55",19,6,250,100,3282,15,71,1,"pontiac firebird",55,-0.577607718206844,0.52629765069009,-0.131097757192593,0.357242810701488,-0.185386341009168,0.30641450259952
"56",18,6,250,88,3139,14.5,71,1,"ford mustang",56,-0.705550656678751,0.52629765069009,-0.440625172108702,0.188412504607007,-0.36374381600851,0.30641450259952
"57",23,4,122,86,2220,14,71,1,"mercury capri 2000",57,-0.0658359643192128,-0.693650890136539,-0.49221307459472,-0.896587854140043,-0.542101291007852,-0.861700878202408
"58",28,4,116,90,2123,14,71,2,"opel 1900",58,0.573878728040326,-0.750835977987787,-0.389037269622684,-1.01110911072161,-0.542101291007852,-0.861700878202408
"59",30,4,79,70,2074,19.5,71,2,"peugeot 304",59,0.829764604984142,-1.10347735307048,-0.904916294482865,-1.06896005476797,1.41983093398491,-0.861700878202408
"60",30,4,88,76,2065,14.5,71,2,"fiat 124b",60,0.829764604984142,-1.01769972129361,-0.750152587024811,-1.07958573836833,-0.36374381600851,-0.861700878202408
"61",31,4,71,65,1773,19,71,3,"toyota corolla 1200",61,0.957707543456049,-1.17972413687215,-1.03388605069791,-1.42433013962419,1.24147345898557,-0.861700878202408
"62",35,4,72,69,1613,18,71,3,"datsun 1200",62,1.46947929734368,-1.17019328889694,-0.930710245725874,-1.61323118140823,0.884758508986882,-0.861700878202408
"63",27,4,97,60,1834,19,71,2,"volkswagen model 111",63,0.445935789568418,-0.93192208951674,-1.16285580691296,-1.35231161744403,1.24147345898557,-0.861700878202408
"64",26,4,91,70,1955,20.5,71,1,"plymouth cricket",64,0.31799285109651,-0.989107177367988,-0.904916294482865,-1.20945520459485,1.77654588398359,-0.861700878202408
"65",24,4,113,95,2278,15.5,72,3,"toyota corona hardtop",65,0.062106974152695,-0.779428521913411,-0.260067513407639,-0.82811122649333,-0.00702886600982643,-0.861700878202408
"66",25,4,97.5,80,2126,17,72,1,"dodge colt hardtop",66,0.190049912624603,-0.927156665529136,-0.646976782052775,-1.00756721618816,0.528043558988199,-0.861700878202408
"67",23,4,97,54,2254,23.5,72,2,"volkswagen type 3",67,-0.0658359643192128,-0.93192208951674,-1.31761951437101,-0.856446382760936,2.84669073397964,-0.861700878202408
"68",20,4,140,90,2408,19.5,72,1,"chevrolet vega",68,-0.449664779734936,-0.522095626582794,-0.389037269622684,-0.674629130043802,1.41983093398491,-0.861700878202408
"69",21,4,122,86,2226,16.5,72,1,"ford pinto runabout",69,-0.321721841263028,-0.693650890136539,-0.49221307459472,-0.889504065073142,0.349686083988857,-0.861700878202408
"70",13,8,350,165,4274,12,72,1,"chevrolet impala",70,-1.34526534903829,1.47938244821089,1.545509073603,1.5284292697625,-1.25553119100522,1.47452988340145
"71",14,8,400,175,4385,12,72,1,"pontiac catalina",71,-1.21732241056638,1.9559248469713,1.80344858603309,1.65947936750018,-1.25553119100522,1.47452988340145
"72",15,8,318,150,4135,13.5,72,1,"plymouth fury iii",72,-1.08937947209447,1.17439531300424,1.15859980495786,1.36432148971262,-0.720458766007193,1.47452988340145
"73",14,8,351,153,4129,13,72,1,"ford galaxie 500",73,-1.21732241056638,1.4889132961861,1.23598165868689,1.35723770064572,-0.898816241006535,1.47452988340145
"74",17,8,304,150,3672,11.5,72,1,"amc ambassador sst",74,-0.833493595150659,1.04096344135132,1.15859980495786,0.817689100050073,-1.43388866600456,1.47452988340145
"75",11,8,429,208,4633,11,72,1,"mercury marquis",75,-1.60115122598211,2.23231943825233,2.65464897705239,1.95227598226543,-1.6122461410039,1.47452988340145
"76",13,8,350,155,4502,13.5,72,1,"buick lesabre custom",76,-1.34526534903829,1.47938244821089,1.2875695611729,1.79761325430475,-0.720458766007193,1.47452988340145
"77",12,8,350,160,4456,13.5,72,1,"oldsmobile delta 88 royale",77,-1.4732082875102,1.47938244821089,1.41653931738795,1.74330420479184,-0.720458766007193,1.47452988340145
"78",13,8,400,190,4422,12.5,72,1,"chrysler newport royal",78,-1.34526534903829,1.9559248469713,2.19035785467822,1.70316273341274,-1.07717371600588,1.47452988340145
"79",19,3,70,97,2330,13.5,72,3,"mazda rx2 coupe",79,-0.577607718206844,-1.18925498484736,-0.208479610921621,-0.766718387913519,-0.720458766007193,-1.44575856860337
"80",15,8,304,150,3892,12.5,72,1,"amc matador (sw)",80,-1.08937947209447,1.04096344135132,1.15859980495786,1.07742803250312,-1.07717371600588,1.47452988340145
"81",13,8,307,130,4098,14,72,1,"chevrolet chevelle concours (sw)",81,-1.34526534903829,1.06955598527695,0.642720780097678,1.32063812380007,-0.542101291007852,1.47452988340145
"82",13,8,302,140,4294,16,72,1,"ford gran torino (sw)",82,-1.34526534903829,1.02190174540091,0.900660292527769,1.55204189998551,0.171328608989515,1.47452988340145
"83",14,8,318,150,4077,14,72,1,"plymouth satellite custom (sw)",83,-1.21732241056638,1.17439531300424,1.15859980495786,1.29584486206591,-0.542101291007852,1.47452988340145
"84",18,4,121,112,2933,14.5,72,2,"volvo 145e (sw)",84,-0.705550656678751,-0.703181738111747,0.178429657723515,-0.0547975866899378,-0.36374381600851,-0.861700878202408
"85",22,4,121,76,2511,18,72,2,"volkswagen 411 (sw)",85,-0.193778902791121,-0.703181738111747,-0.750152587024811,-0.55302408439533,0.884758508986882,-0.861700878202408
"86",21,4,120,87,2979,19.5,72,2,"peugeot 504 (sw)",86,-0.321721841263028,-0.712712586086955,-0.466419123351711,-0.000488537177027787,1.41983093398491,-0.861700878202408
"87",26,4,96,69,2189,18,72,2,"renault 12 (sw)",87,0.31799285109651,-0.941452937491948,-0.930710245725874,-0.9331874309857,0.884758508986882,-0.861700878202408
"88",22,4,122,86,2395,16,72,1,"ford pinto (sw)",88,-0.193778902791121,-0.693650890136539,-0.49221307459472,-0.689977339688755,0.171328608989515,-0.861700878202408
"89",28,4,97,92,2288,17,72,3,"datsun 510 (sw)",89,0.573878728040326,-0.93192208951674,-0.337449367136666,-0.816304911381828,0.528043558988199,-0.861700878202408
"90",23,4,120,97,2506,14.5,72,3,"toyouta corona mark ii (sw)",90,-0.0658359643192128,-0.712712586086955,-0.208479610921621,-0.558927241951081,-0.36374381600851,-0.861700878202408
"91",28,4,98,80,2164,15,72,1,"dodge colt (sw)",91,0.573878728040326,-0.922391241541532,-0.646976782052775,-0.962703218764455,-0.185386341009168,-0.861700878202408
"92",27,4,97,88,2100,16.5,72,3,"toyota corolla 1600 (sw)",92,0.445935789568418,-0.93192208951674,-0.440625172108702,-1.03826363547807,0.349686083988857,-0.861700878202408
"93",13,8,350,175,4100,13,73,1,"buick century 350",93,-1.34526534903829,1.47938244821089,1.80344858603309,1.32299938682237,-0.898816241006535,1.47452988340145
"94",14,8,304,150,3672,11.5,73,1,"amc matador",94,-1.21732241056638,1.04096344135132,1.15859980495786,0.817689100050073,-1.43388866600456,1.47452988340145
"95",13,8,350,145,3988,13,73,1,"chevrolet malibu",95,-1.34526534903829,1.47938244821089,1.02963004874281,1.19076865757354,-0.898816241006535,1.47452988340145
"96",14,8,302,137,4042,14.5,73,1,"ford gran torino",96,-1.21732241056638,1.02190174540091,0.823278438798742,1.25452275917565,-0.36374381600851,1.47452988340145
"97",15,8,318,150,3777,12.5,73,1,"dodge coronet custom",97,-1.08937947209447,1.17439531300424,1.15859980495786,0.941655408720846,-1.07717371600588,1.47452988340145
"98",12,8,429,198,4952,11.5,73,1,"mercury marquis brougham",98,-1.4732082875102,2.23231943825233,2.39670946462229,2.32889743432235,-1.43388866600456,1.47452988340145
"99",13,8,400,150,4464,12,73,1,"chevrolet caprice classic",99,-1.34526534903829,1.9559248469713,1.15859980495786,1.75274925688105,-1.25553119100522,1.47452988340145
"100",13,8,351,158,4363,13,73,1,"ford ltd",100,-1.34526534903829,1.4889132961861,1.36495141490193,1.63350547425487,-0.898816241006535,1.47452988340145
"101",14,8,318,150,4237,14.5,73,1,"plymouth fury gran sedan",101,-1.21732241056638,1.17439531300424,1.15859980495786,1.48474590384995,-0.36374381600851,1.47452988340145
"102",13,8,440,215,4735,11,73,1,"chrysler new yorker brougham",102,-1.34526534903829,2.33715876597962,2.83520663575345,2.07270039640275,-1.6122461410039,1.47452988340145
"103",12,8,455,225,4951,11,73,1,"buick electra 225 custom",103,-1.4732082875102,2.48012148560774,3.09314614818354,2.3277168028112,-1.6122461410039,1.47452988340145
"104",13,8,360,175,3821,11,73,1,"amc ambassador brougham",104,-1.34526534903829,1.57469092796297,1.80344858603309,0.993603195211456,-1.6122461410039,1.47452988340145
"105",18,6,225,105,3121,16.5,73,1,"plymouth valiant",105,-0.705550656678751,0.288026451309889,-0.00212800097754814,0.167161137406303,0.349686083988857,0.30641450259952
"106",16,6,250,100,3278,18,73,1,"chevrolet nova custom",106,-0.961436533622567,0.52629765069009,-0.131097757192593,0.352520284656887,0.884758508986882,0.30641450259952
"107",18,6,232,100,2945,16,73,1,"amc hornet",107,-0.705550656678751,0.354742387136346,-0.131097757192593,-0.0406300085561352,0.171328608989515,0.30641450259952
"108",18,6,250,88,3021,16.5,73,1,"ford maverick",108,-0.705550656678751,0.52629765069009,-0.440625172108702,0.0490979862912814,0.349686083988857,0.30641450259952
"109",23,6,198,95,2904,16,73,1,"plymouth duster",109,-0.0658359643192128,0.0306935559792723,-0.260067513407639,-0.0890359005132941,0.171328608989515,0.30641450259952
"110",26,4,97,46,1950,21,73,2,"volkswagen super beetle",110,0.31799285109651,-0.93192208951674,-1.52397112431508,-1.2153583621506,1.95490335898293,-0.861700878202408
"111",11,8,400,150,4997,14,73,1,"chevrolet impala",111,-1.60115122598211,1.9559248469713,1.15859980495786,2.38202585232411,-0.542101291007852,1.47452988340145
"112",12,8,400,167,4906,12.5,73,1,"ford country",112,-1.4732082875102,1.9559248469713,1.59709697608901,2.27458838480944,-1.07717371600588,1.47452988340145
"113",13,8,360,170,4654,13,73,1,"plymouth custom suburb",113,-1.34526534903829,1.57469092796297,1.67447882981804,1.97706924399959,-0.898816241006535,1.47452988340145
"114",12,8,350,180,4499,12.5,73,1,"oldsmobile vista cruiser",114,-1.4732082875102,1.47938244821089,1.93241834224813,1.7940713597713,-1.07717371600588,1.47452988340145
"115",18,6,232,100,2789,15,73,1,"amc gremlin",115,-0.705550656678751,0.354742387136346,-0.131097757192593,-0.224808524295569,-0.185386341009168,0.30641450259952
"116",20,4,97,88,2279,19,73,3,"toyota carina",116,-0.449664779734936,-0.93192208951674,-0.440625172108702,-0.82693059498218,1.24147345898557,-0.861700878202408
"117",21,4,140,72,2401,19.5,73,1,"chevrolet vega",117,-0.321721841263028,-0.522095626582794,-0.853328391996847,-0.682893550621854,1.41983093398491,-0.861700878202408
"118",22,4,108,94,2379,16.5,73,3,"datsun 610",118,-0.193778902791121,-0.827082761789451,-0.285861464650648,-0.708867443867158,0.349686083988857,-0.861700878202408
"119",18,3,70,90,2124,13.5,73,3,"maxda rx3",119,-0.705550656678751,-1.18925498484736,-0.389037269622684,-1.00992847921046,-0.720458766007193,-1.44575856860337
"120",19,4,122,85,2310,18.5,73,1,"ford pinto",120,-0.577607718206844,-0.693650890136539,-0.518007025837729,-0.790331018136524,1.06311598398622,-0.861700878202408
"121",21,6,155,107,2472,14,73,1,"mercury capri v6",121,-0.321721841263028,-0.379132906954673,0.04945990150847,-0.599068713330188,-0.542101291007852,0.30641450259952
"122",26,4,98,90,2265,15.5,73,2,"fiat 124 sport coupe",122,0.31799285109651,-0.922391241541532,-0.389037269622684,-0.843459436138283,-0.00702886600982643,-0.861700878202408
"123",15,8,350,145,4082,13,73,1,"chevrolet monte carlo s",123,-1.08937947209447,1.47938244821089,1.02963004874281,1.30174801962166,-0.898816241006535,1.47452988340145
"124",16,8,400,230,4278,9.5,73,1,"pontiac grand prix",124,-0.961436533622567,1.9559248469713,3.22211590439858,1.53315179580711,-2.14731856600193,1.47452988340145
"125",29,4,68,49,1867,19.5,73,2,"fiat 128",125,0.701821666512234,-1.20831668079777,-1.44658927058606,-1.31335077757607,1.41983093398491,-0.861700878202408
"126",24,4,116,75,2158,15.5,73,2,"opel manta",126,0.062106974152695,-0.750835977987787,-0.77594653826782,-0.969787007831357,-0.00702886600982643,-0.861700878202408
"127",20,4,114,91,2582,14,73,2,"audi 100ls",127,-0.449664779734936,-0.769897673938203,-0.363243318379675,-0.469199247103664,-0.542101291007852,-0.861700878202408
"128",19,4,121,112,2868,15.5,73,2,"volvo 144ea",128,-0.577607718206844,-0.703181738111747,0.178429657723515,-0.131538634914702,-0.00702886600982643,-0.861700878202408
"129",15,8,318,150,3399,11,73,1,"dodge dart custom",129,-1.08937947209447,1.17439531300424,1.15859980495786,0.495376697506064,-1.6122461410039,1.47452988340145
"130",24,4,121,110,2660,14,73,2,"saab 99le",130,0.062106974152695,-0.703181738111747,0.126841755237497,-0.377109989233947,-0.542101291007852,-0.861700878202408
"131",20,6,156,122,2807,13.5,73,3,"toyota mark ii",131,-0.449664779734936,-0.369602058979465,0.436369170153606,-0.203557157094865,-0.720458766007193,0.30641450259952
"132",11,8,350,180,3664,11,73,1,"oldsmobile omega",132,-1.60115122598211,1.47938244821089,1.93241834224813,0.808244047960871,-1.6122461410039,1.47452988340145
"133",20,6,198,95,3102,16.5,74,1,"plymouth duster",133,-0.449664779734936,0.0306935559792723,-0.260067513407639,0.144729138694449,0.349686083988857,0.30641450259952
"134",21,6,200,NA,2875,17,74,1,"ford maverick",134,-0.321721841263028,0.0497552519296884,NA,-0.12327421433665,0.528043558988199,0.30641450259952
"135",19,6,232,100,2901,16,74,1,"amc hornet",135,-0.577607718206844,0.354742387136346,-0.131097757192593,-0.0925777950467448,0.171328608989515,0.30641450259952
"136",15,6,250,100,3336,17,74,1,"chevrolet nova",136,-1.08937947209447,0.52629765069009,-0.131097757192593,0.4209969123036,0.528043558988199,0.30641450259952
"137",31,4,79,67,1950,19,74,3,"datsun b210",137,0.957707543456049,-1.10347735307048,-0.982298148211892,-1.2153583621506,1.24147345898557,-0.861700878202408
"138",26,4,122,80,2451,16.5,74,1,"ford pinto",138,0.31799285109651,-0.693650890136539,-0.646976782052775,-0.623861975064343,0.349686083988857,-0.861700878202408
"139",32,4,71,65,1836,21,74,3,"toyota corolla 1200",139,1.08565048192796,-1.17972413687215,-1.03388605069791,-1.34995035442173,1.95490335898293,-0.861700878202408
"140",25,4,140,75,2542,17,74,1,"chevrolet vega",140,0.190049912624603,-0.522095626582794,-0.77594653826782,-0.516424507549673,0.528043558988199,-0.861700878202408
"141",16,6,250,100,3781,17,74,1,"chevrolet chevelle malibu classic",141,-0.961436533622567,0.52629765069009,-0.131097757192593,0.946377934765447,0.528043558988199,0.30641450259952
"142",16,6,258,110,3632,18,74,1,"amc matador",142,-0.961436533622567,0.602544434491755,0.126841755237497,0.770463839604065,0.884758508986882,0.30641450259952
"143",18,6,225,105,3613,16.5,74,1,"plymouth satellite sebring",143,-0.705550656678751,0.288026451309889,-0.00212800097754814,0.74803184089221,0.349686083988857,0.30641450259952
"144",16,8,302,140,4141,14,74,1,"ford gran torino",144,-0.961436533622567,1.02190174540091,0.900660292527769,1.37140527877953,-0.542101291007852,1.47452988340145
"145",13,8,350,150,4699,14.5,74,1,"buick century luxus (sw)",145,-1.34526534903829,1.47938244821089,1.15859980495786,2.03019766200135,-0.36374381600851,1.47452988340145
"146",14,8,318,150,4457,13.5,74,1,"dodge coronet custom (sw)",146,-1.21732241056638,1.17439531300424,1.15859980495786,1.74448483630299,-0.720458766007193,1.47452988340145
"147",14,8,302,140,4638,16,74,1,"ford gran torino (sw)",147,-1.21732241056638,1.02190174540091,0.900660292527769,1.95817913982118,0.171328608989515,1.47452988340145
"148",14,8,304,150,4257,15.5,74,1,"amc matador (sw)",148,-1.21732241056638,1.04096344135132,1.15859980495786,1.50835853407295,-0.00702886600982643,1.47452988340145
"149",29,4,98,83,2219,16.5,74,2,"audi fox",149,0.701821666512234,-0.922391241541532,-0.569594928323747,-0.897768485651193,0.349686083988857,-0.861700878202408
"150",26,4,79,67,1963,15.5,74,2,"volkswagen dasher",150,0.31799285109651,-1.10347735307048,-0.982298148211892,-1.20001015250565,-0.00702886600982643,-0.861700878202408
"151",26,4,97,78,2300,14.5,74,2,"opel manta",151,0.31799285109651,-0.93192208951674,-0.698564684538793,-0.802137333248026,-0.36374381600851,-0.861700878202408
"152",31,4,76,52,1649,16.5,74,3,"toyota corona",152,0.957707543456049,-1.13206989699611,-1.36920741685703,-1.57072844700682,0.349686083988857,-0.861700878202408
"153",32,4,83,61,2003,19,74,3,"datsun 710",153,1.08565048192796,-1.06535396116965,-1.13706185566995,-1.15278489205964,1.24147345898557,-0.861700878202408
"154",28,4,90,75,2125,14.5,74,1,"dodge colt",154,0.573878728040326,-0.998638025343196,-0.77594653826782,-1.00874784769931,-0.36374381600851,-0.861700878202408
"155",24,4,90,75,2108,15.5,74,2,"fiat 128",155,0.062106974152695,-0.998638025343196,-0.77594653826782,-1.02881858338887,-0.00702886600982643,-0.861700878202408
"156",26,4,116,75,2246,14,74,2,"fiat 124 tc",156,0.31799285109651,-0.750835977987787,-0.77594653826782,-0.865891434850137,-0.542101291007852,-0.861700878202408
"157",24,4,120,97,2489,15,74,3,"honda civic",157,0.062106974152695,-0.712712586086955,-0.208479610921621,-0.578997977640635,-0.185386341009168,-0.861700878202408
"158",26,4,108,93,2391,15.5,74,3,"subaru",158,0.31799285109651,-0.827082761789451,-0.311655415893657,-0.694699865733356,-0.00702886600982643,-0.861700878202408
"159",31,4,79,67,2000,16,74,2,"fiat x1.9",159,0.957707543456049,-1.10347735307048,-0.982298148211892,-1.15632678659309,0.171328608989515,-0.861700878202408
"160",19,6,225,95,3264,16,75,1,"plymouth valiant custom",160,-0.577607718206844,0.288026451309889,-0.260067513407639,0.335991443500784,0.171328608989515,0.30641450259952
"161",18,6,250,105,3459,16,75,1,"chevrolet nova",161,-0.705550656678751,0.52629765069009,-0.00212800097754814,0.566214588175077,0.171328608989515,0.30641450259952
"162",15,6,250,72,3432,21,75,1,"mercury monarch",162,-1.08937947209447,0.52629765069009,-0.853328391996847,0.534337537374021,1.95490335898293,0.30641450259952
"163",15,6,250,72,3158,19.5,75,1,"ford maverick",163,-1.08937947209447,0.52629765069009,-0.853328391996847,0.210844503318861,1.41983093398491,0.30641450259952
"164",16,8,400,170,4668,11.5,75,1,"pontiac catalina",164,-0.961436533622567,1.9559248469713,1.67447882981804,1.99359808515569,-1.43388866600456,1.47452988340145
